School,City,State,Zip,Latitude,Longitude,Team_id
Oklahoma,Norman,Oklahoma,73019,35.2086,-97.4445,1328
Oklahoma State-Stillwater,Stillwater,Oklahoma,74074,36.1043,-97.0609,1329
Old Dominion,Norfolk,Virginia,23500,36.8466,-76.2855,1330
Oral Roberts,Tulsa,Oklahoma,74101,36.0391,-95.8687,1331
Oregon,Eugene,Oregon,97401,44.0682,-123.0819,1332
Oregon State,Corvallis,Oregon,97330,44.5904,-123.2722,1333
Wagner,Staten Island,New York,10302,40.5795,-74.1502,1447
Pacific,Stockton,California,95201,37.958,-121.2876,1334
Pennsylvania,Philadelphia,Pennsylvania,19019,40.0018,-75.1179,1335
Pennsylvania State,State College,Pennsylvania,16801,40.7925,-77.8523,1336
Pepperdine,Malibu,California,90263,33.7866,-118.2987,1337
Pittsburgh,Pittsburgh,Pennsylvania,15201,40.4752,-79.9528,1338
Portland,Portland,Oregon,97201,45.5078,-122.6897,1339
Portland State,Portland,Oregon,97201,45.5078,-122.6897,1340
Prairie View A&M,Prairie View,Texas,77446,30.0836,-95.9866,1341
Presbyterian College,Clinton,South Carolina,29325,34.4707,-81.8772,1342
Princeton,Princeton,New Jersey,8540,40.3666,-74.6408,1343
Providence College,Providence,Rhode Island,2901,41.8228,-71.4145,1344
Purdue,West Lafayette,Indiana,47906,40.444,-86.9237,1345
Quinnipiac,Hamden,Connecticut,6514,41.362,-72.9361,1346
Radford,Radford,Virginia,24141,37.1197,-80.5565,1347
Rhode Island,Kingston,Rhode Island,2881,41.4803,-71.5292,1348
Rice,Houston,Texas,77001,29.8131,-95.3098,1349
Richmond,Richmond,Virginia,23201,37.5593,-77.4471,1350
Rider,Lawrenceville,New Jersey,8648,40.279017,-74.735419,1351
Robert Morris,Moon Township,Pennsylvania,15225,40.518831,-80.150245,1352
Rutgers,New Brunswick,New Jersey,8901,40.4891,-74.4482,1353
Sacred Heart,Fairfield,Connecticut,6430,41.1664,-73.2571,1357
Saint Bonaventure,St. Bonaventure,New York,14778,42.078015,-78.476189,1382
Saint Francis College,Brooklyn,New York,11201,40.694,-73.9903,1383
Saint Francis,Loretto,Pennsylvania,15940,40.5105,-78.6294,1384
Saint John's,Jamaica,New York,11402,40.6913,-73.8059,1385
Saint Joseph's,Philadelphia,Pennsylvania,19019,40.0018,-75.1179,1386
Saint Louis,St. Louis,Missouri,63103,38.636038, -90.234435,1387
Saint Mary's College of California,Moraga,California,94556,37.8437,-122.1242,1388
Saint Peter's,Jersey City,New Jersey,7097,40.7328,-74.0755,1389
Sam Houston State,Huntsville,Texas,77320,30.847,-95.597,1358
Samford,Homewood,Alabama,35229,33.464002,-86.796283,1359
San Diego,San Diego,California,92101,32.7185,-117.1593,1360
San Diego State,San Diego,California,92101,32.7185,-117.1593,1361
San Francisco,San Francisco,California,94101,37.7848,-122.7278,1362
San Jose State,San Jose,California,95101,37.3894,-121.8868,1363
Santa Clara,Santa Clara,California,95050,37.3492,-121.953,1365
Savannah State,Savannah,Georgia,31401,32.0749,-81.0883,1366
Seattle,Seattle,Washington,98060,47.4323,-121.8034,1370
Seton Hall,South Orange,New Jersey,7079,40.7465,-74.2575,1371
Siena College,Loudonville,New York,12211,42.705053,-73.754832,1373
South Alabama,Mobile,Alabama,36601,30.7011,-88.1032,1375
South Carolina,Columbia,South Carolina,29201,34.0004,-81.0334,1376
South Carolina State,Orangeburg,South Carolina,29115,33.5025,-80.8593,1354
South Carolina Upstate,Spartanburg,South Carolina,29301,34.9352,-81.9654,1367
South Dakota,Vermillion,South Dakota,57069,42.7951,-96.9258,1377
South Dakota State,Brookings,South Dakota,57006,44.3056,-96.7914,1355
South Florida,Tampa,Florida,33601,27.9961,-82.582,1378
Southeast Missouri State,Cape Girardeau,Missouri,63701,37.3168,-89.5459,1369
Southeastern Louisiana,Hammond,Louisiana,70401,30.5191,-90.4879,1368
Southern,Baton Rouge,Louisiana,70801,30.4492,-91.1856,1380
Southern California,Los Angeles,California,90001,33.9731,-118.2479,1425
Southern Illinois Carbondale,Carbondale,Illinois,62901,37.72,-89.2158,1356
Southern Illinois Edwardsville,Edwardsville,Illinois,62025,38.805,-89.9637,1188
Southern Methodist,University Park,Texas,75205,32.840911,-96.786138,1374
Southern Mississippi,Hattiesburg,Mississippi,39400,31.3128,-89.3069,1379
Southern Utah,Cedar City,Utah,84720,37.5886,-113.1682,1381
Stanford,Palo Alto,California,94301,37.4443,-122.1497,1390
Stephen F. Austin State,Nacogdoches,Texas,75961,31.5611,-94.5,1372
Stetson,DeLand,Florida,32723,29.037503,-81.302256,1391
Stony Brook,Stony Brook,New York,11790,40.9068,-73.1277,1392
Syracuse,Syracuse,New York,13201,43.0214,-76.1977,1393
Temple,Philadelphia,Pennsylvania,19019,40.0018,-75.1179,1396
Tennessee,Knoxville,Tennessee,37901,36.0323,-83.8848,1397
Tennessee Chattanooga,Chattanooga,Tennessee,37401,35.0178,-85.2064,1151
Tennessee Martin,Martin,Tennessee,38237,36.3425,-88.8554,1404
Tennessee State,Nashville,Tennessee,37201,36.1657,-86.7781,1398
Tennessee Technological,Cookeville,Tennessee,38501,36.2178,-85.5423,1399
Texas A&M,College Station,Texas,77840,30.6045,-96.3123,1401
Texas A&M-Corpus Christi,Corpus Christi,Texas,78401,27.7941,-97.403,1394
Texas Arlington,Arlington,Texas,76000,32.6945,-97.1275,1426
Texas Austin,Austin,Texas,73301,30.3264,-97.7713,1400
