Year,Player,High School,team
2006,Spencer Hawes,"Seattle Preparatory School (Seattle, WA)"
2006,Gerald Henderson,"The Episcopal Academy (Newtown Square, PA)"
2006,James Keefe,"Santa Margarita (R. Santa Margarita, CA)"
2006,Ty Lawson,"Oak Hill Academy (Mouth of Wilson, VA)"
2006,Brook Lopez,"San Joaquin Memorial (Fresno, CA)"
2006,Robin Lopez,"San Joaquin Memorial (Fresno, CA)"
2006,Vernon Macklin,"Hargrave Military Academy (Chatham, VA)"
2006,Greg Oden,"Lawrence North (Indianapolis, IN)"
2006,Scottie Reynolds,"Herdon (Herndon, VA)"
2006,Jon Scheyer,"Glenbrook North (Northbrook, IL)"
2006,Lance Thomas,"Saint Benedict's Preparatory School (Newark, NJ)"
2006,Brandan Wright,"Brentwood Academy (Brentwood, TN)"
2006,Thaddeus Young,"Mitchell (Memphis, TN)"
2006,Korvotney Barber,"Manchester (Manchester, GA)"
2005,Eric Boateng,"Saint Andrew's School (Middletown, DE)"
2005,Jon Brockman,"Snohomish (Snohomish, WA)"
2005,Andrew Bynum,"Saint Joseph (Metuchen, NJ)"
2005,Mario Chalmers,"Bartlett (Anchorage, AK)"
2005,Brandon Costner,"Seton Hall Prep (West Orange, NJ)"
2005,Eric Devendorf,"Oak Hill Academy. (Mouth of Wilson, VA)"
2005,Micah Downs,"Juanita (Kirkland, WA)"
2005,Byron Eaton,"Dallas Lincoln (Dallas, TX)"
2005,Monta Ellis,"Lanier (Jackson, MS)"
2005,Bobby Frasor,"Brother Rice (Chicago, IL)"
2005,Danny Green,"St. Mary's (Manhasset, NY)"
2005,Gerald Green,"Gulf Shores Academy (Houston, TX)"
2005,Tyler Hansbrough,"Poplar Bluff (Poplar Bluff, MO)"
2005,Richard Hendrix,"Athens (Athens, AL)"
2005,Amir Johnson,"Westchester (Los Angeles, CA)"
2005,Josh McRoberts,"Carmel (Carmel, IN)"
2005,C.J. Miles,"Skyline (Dallas, TX)"
2005,Tasmin Mitchell,"Denham Springs (Den. Springs, LA)"
2005,Greg Paulus,"Christian Brothers Academy (Syracuse, NY)"
2005,Martell Webster,"Seattle Preparatory School (Seattle, WA)"
2005,Lou Williams,"South Gwinnett (Snellville, GA)"
2005,Julian Wright,"Homewood-Flossmoor (Flossmoor, IL)"
2005,Luke Zeller,"Washington (Washington, IN)"
2005,Arron Afflalo,"Centennial (Compton, CA)"
2004,LaMarcus Aldridge,"Seagoville (Seagoville, TX)"
2004,Corey Brewer,"Portland (Portland, TN)"
2004,Joe Crawford,"Renaissance (Detroit, MI)"
2004,Glen Davis,"Louisiana State University Laboratory School (Baton Rouge, LA)"
2004,Jordan Farmar,"Taft (Woodland Hills, CA)"
2004,Rudy Gay,"Archbishop Spalding (Severn, MD)"
2004,Daniel Gibson,"Jones (Houston, TX)"
2004,Malik Hairston,"Renaissance (Detroit, MI)"
2004,Dwight Howard,"Southwest Atlanta Christian Academy (Atlanta, GA)"
2004,Al Jefferson,"Prentiss (Prentiss, MS)"
2004,Shaun Livingston,"Peoria Central (Peoria, IL)"
2004,Jawann McClellan,"Milby (Houston, TX)"
2004,Randolph Morris,"Landmark Christian School (Fairburn, GA)"
2004,DeMarcus Nelson,"Sheldon (Sacramento, CA)"
2004,Rajon Rondo,"Oak Hill Academy (Mouth of Wilson, VA)"
2004,J.R. Smith,"Saint Benedict's Preparatory School (Newark, NJ)"
2004,Josh Smith,"Oak Hill Academy (Mouth of Wilson, VA)"
