School,Secondary Name,City,State,Type,Primary Conference
Northern Colorado ,University of Northern Colorado,Greeley,Colorado,State,Big Sky Conference
Northern Illinois University,,DeKalb,Illinois,State,Mid-American Conference
Northern Iowa ,University of Northern Iowa,Cedar Falls,Iowa,State,Missouri Valley Conference
Northern Kentucky University ,Northern Kentucky University,Highland Heights,Kentucky,State,Horizon League
Northwestern University,,Evanston,Illinois,Private/Non-Sectarian,Big Ten Conference
Northwestern State University,,Natchitoches,Louisiana,State,Southland Conference
Notre Dame ,University of Notre Dame,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference
Oakland University,,Rochester,Michigan,State,Horizon League
Ohio ,Ohio University,Athens,Ohio,State,Mid-American Conference
Ohio State University ,The Ohio State University,Columbus,Ohio,State,Big Ten Conference
Oklahoma ,University of Oklahoma,Norman,Oklahoma,State,Big 12 Conference
Oklahoma State University-Stillwater,,Stillwater,Oklahoma,State,Big 12 Conference
Old Dominion University,,Norfolk,Virginia,State,Conference USA
Oral Roberts University,,Tulsa,Oklahoma,Private/Christian,The Summit League
Oregon ,University of Oregon,Eugene,Oregon,State,Pac-12 Conference
Oregon State University,,Corvallis,Oregon,State,Pac-12 Conference
Pacific ,University of the Pacific,Stockton,California,Private/Methodist,West Coast Conference
Pennsylvania ,University of Pennsylvania,Philadelphia,Pennsylvania,Private/Non-Sectarian,Ivy League
Pennsylvania State University,,State College,Pennsylvania,State-related,Big Ten Conference
Pepperdine University,,Malibu,California,Private/Churches of Christ,West Coast Conference
Pittsburgh ,University of Pittsburgh,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference
Portland ,University of Portland,Portland,Oregon,Private/Catholic,West Coast Conference
Portland State University,,Portland,Oregon,State,Big Sky Conference
Prairie View A&M University,,Prairie View,Texas,State,Southwestern Athletic Conference
Presbyterian College,,Clinton,South Carolina,Private/Presbyterian,Big South Conference
Princeton University,,Princeton,New Jersey,Private/Non-Sectarian,Ivy League
Providence College,,Providence,Rhode Island,Private/Catholic,Big East Conference
Purdue University,,West Lafayette,Indiana,State,Big Ten Conference
Quinnipiac University,,Hamden,Connecticut,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Radford University,,Radford,Virginia,State,Big South Conference
Rhode Island ,University of Rhode Island,Kingston,Rhode Island,State,Atlantic 10 Conference
Rice University,,Houston,Texas,Private/Non-Sectarian,Conference USA
Richmond ,University of Richmond,Richmond,Virginia,Private/Non-Sectarian,Atlantic 10 Conference
Rider University,,Lawrenceville,New Jersey,Private/Non-Sectarian,Metro Atlantic Athletic Conference
Robert Morris University,,Moon Township,Pennsylvania,Private/Non-Sectarian,Northeast Conference
Rutgers University,,New Brunswick,New Jersey,State-private hybrid,Big Ten Conference
Sacred Heart University,,Fairfield,Connecticut,Private/Catholic,Northeast Conference
Saint Bonaventure ,St. Bonaventure University,St. Bonaventure,New York,Private/Catholic,Atlantic 10 Conference
